Test Case Title,Step,Description,Notes,Expected Result,Expected File,P/F,Tester Name,Test date,Defect id,Remarks
"Creating a new Purchase Order Header
",Step,"Ordering > Orders > Create a Purchase Order Header

Create Purchase Orders for all of the following Item Types:
a) Regular Item
b) Simple Pack
c) Complex Pack
d) Deposit contents
e) Consignment/concession
f) Transformed orderable

    - Create a Purchase Order Header (Purchase Order Maintenance)  
    Obj.:  To create the Header for a single-drop Purchase Order for a single department
 using an Item List, to be delivered direct to multiple stores

1 - From the main menu, select ?Ordering?, then select the ?Orders? form
2 - In the Action drop-down menu, select ?New Order? and press <OK>
3 - In the PO Header Maintenance screen, select/enter the following:
            ?Order type?:  Create PO's for all the Types:N/B,ARB,BRB.
             ?Import Country?: 
             ?Supplier?: 
             ""Payment Method""
             ?PO Type?:  
             ?Department?:  
             ?Location Type? : Test for both Store and Warehouse
             ?Location Id.?: 
              ""Promotion""    
             ?Order Currency?:The Default Currency is USD.
              Validate when the Currency is changed from USD to any other, the Order Exchange Rate field changes accordingly.
             ""Order Exchange Rate""
             ?Pick-up Date?: 
             ?Not Before Date?: 
             ?Not After Date?:  
              ?OTB End of Week Date?: 
4 - Insert the fields or select as following 
             ""Ord Vendor No""
         Flags 
             ""Import Order""
             ""Include On-Order""
             ""QC Required""
             ""EDI PO""
             ""Customer Order""
             ""Prepack""
",,"

1 - The ?Order Selection?  form appears

2 - PO Header Maintenance screen appears

3 - Values insert correctly



",,,,,,
"Specifying Items for a Purchase Order
",Step,"Ordering > Orders >  Specify Items for Purchase Order

Add multiple items on PO.
Obj.: To add items by using an item list to the purchase order header created in Test id.1 - Create a Purchase Order Header

 PreRequisite : Test id. 1 Create a Purchase Order Header
                 
1 - On the Purchase Order Maintenance form select Items
           In the ?Enter As? selection box in the bottom left hand corner of the screen, select the ?Item List? radio button.
           In the ?Item List? field, enter the desired item list for a department, then press <Apply Item> 

2 - If the items selected are Level 1 items with Level 2 items with Diffs: Distribute the order by the
 Diffs of the item selected:
           a) - Select Diffs  from the ?Distribute By? selection box (the Distribution Diff Apply Screen appears)
           b) - Ensure the ?percentage? radio button is selected in the ?Distribute by? selection box
           c) - Select a number of diffs from the ?Available Diffs? table and press the ?>? arrow key to move
 them to the ?Applied Diffs? table.
           d) - Enter percentage values to the total of %100 in the ?Percentage? text fields 
next to all of the Applied Diffs selected.
           Press <OK>
          
3 - Repeat Step id. 2 (a,b,c,d) for the number of Diffs applied to the item


",,"

1 - Order Distribution Worksheet appears

2 - The table is populated with the details of the SKUs selected

3 - The ?Wksht Qty? value is distributed between the Diffs selected, with the quantities distributed totaling the original value entered


",,,,,,
Perform Location Distribution on the purchase Order,Step,"Ordering > Orders >  Location Distribution of Purchase Order Items
 Obj.: To perform location distribution to stores of the items on the purchase order created in Test id. 1 Create a Purchase Order Header and Test id. 2 Specify Items for Purchase Order
 PreRequisite :  Test id.2 Specify Items for Purchase Order    
          
1 -From the Purchase Order Maintenance Screen already open, select the ?Items? button and in the 
options menu  in the ?Distribute? button
2 - Select the ?Ratio? button in the ?Distribute By? selection box
     Select ?Store? under the ?Location Type? column
     Press the LOV button next to the ?Location? column
     Select a store from the pop up list (the ?Location? and ?Name? columns are 
automatically populated)
     Enter a value in the Ratio column
            Press <Add>
     n: Repeat the above step 2, selecting a different store each time, and press <OK> 
instead of <Add>
3 - Press <OK>
4 - Press <Recalc Totals> button to populate the ?Total Order Cost?, ?Landed Cost? and ?Outstanding Cost? fields
    (If you receive a prompt that the ?OTBs? have been exceeded, then simply press <OK>)
5 - In the ?Options? drop down menu on the toolbar (in the top left-hand corner 
of the screen), select Submit
6 - Make a note of the ?Inventory by Location? details, Stock on Hand, 
Stock on Order etc of an item on the PO created
View and make a note of the?Qty Ordered?, ?Qty Rec?d? and ?Qty Oustanding?
 details on ?Order Details? screen (View Item > Order Detail) for an item on the Purchase 
Order created in Test id.1, 2 above
7 - Make a note of the Order Number, then Press <OK>",,"
1 - The ?Location Distribution? screen appears

2 - The screen defaults back to the ?Order Distribution Worksheet?. The distribution of the quantity being ordered is divided amongst the SKUs according to the Location Distribution percentage just specified (i.e. 50% per location)

3 - The screen defaults back to the  PO Header Maintenance Screen

4 - ?Total Order Cost?, ?Landed Cost? and ?Outstanding Cost? fields are populated

5  - The status of the Worksheet changes to ?submitted?

6 - Details are noted

7 - The screen defaults back to the Main Menu


",,,,,,
Approving a purchase order,Step,"
Ordering > Orders >  Location Distribution of Purchase Order Items

         Obj.: To approve the Purchase Order created in Test id. 1, 2 and 3

 PreRequisite :  Test id.3 Location Distribution of Purchase Order Items   
          
1 -From the main menu, select ?Ordering?, then select the ?Orders? form

2 - In the Action drop-down menu, select ?Edit Order? and press <OK>

3 - Enter the Order Number in the ?Order? field.
Press <OK>.

4 - In the ?Options? drop down menu on the toolbar (in the top left-hand corner of the screen), select Approve (if a prompt appears that the OTB has been exceeded, select <OK>)

5 - Validate the values that are calculated automatically:
             Discount % off
             Markup % Retail 
             Total order Retail             
             Total ordered cost

6 - Validate the stock of the items





",,"
1 - The ?Order Selection? form appears
2 - PO Header Maintenance screen appears
3 - The PO Header Maintenance screen appears
4 - The status of the Worksheet changes to ?Approved?.
5 - The values should be correctly calculated. The values should have:
          Discount % off ? sum of the deals discounts applied to the order 
          The Markup % Retail can be calculated with two different formulas depends if is being calculated based on the cost or based on the retail. This parameter is defined at department level
          Markup % Retail =((I_total_retail - I_total_cost) / I_total_cost);
        or 
         Markup % Retail = ((I_total_retail - I_total_cost) / I_total_retail);
         Total order Retail = unit retail of the item in the order * qty )
         Total ordered cost: (cost o the item in the order * quantity ordered)
         Note: These values are displayed in the coin of the PO
6 - The item Stock_on_order should had been incremented will the values ordered


",,,,,,
,VP,"For all the Item Types( as per the 1st Test case)(different Item Types have different UOM), the UOM logic on PO screens  are as per the Costing/Standard UOM of the item",,UOM for item is behaving as per the logic.,,,,,,
Editing a purchase order,Step,"Ordering > Orders >  Edit Purchase Order

         Obj.: To Change the Purchase Order created in  Test id.1, 2 and 3

 PreRequisite :  Purchase Order created   
          
1 - From the main menu, select ?Ordering?, then select the ?Orders? form
 
2 - In the Action drop-down menu, select ?Edit Order? and press <OK>
 
3 - Enter the Order Number in the ?Order? field. Select an order in Worksheet status
Press <OK>
 
4 - Change values of a few fields

Validate that the following fields are enabled and mandatorily edit all the fields:
Terms, PO Type, Promotion, Pickup date, Not before date, Not after date, Vendor order No., Include On-Order Ind, QC Required Ind.
 
5 - Repeat the test for PO in submit and approve status
",,"
1 - The ?Order Selection? form appears
 
2 - PO Header Maintenance screen appears
 
3 - The PO Header Maintenance screen appears
 
4 - Should be possible to change all fields of the PO
 
5 - Should only possible change the PO type, the terms and the Date fields. All other fields should be disabled
 

",,,,,,
,VP,"Order Revision record viz. tables ordhead_rev, ordloc_rev etc are created.",,"ordhead_rev, ordloc_rev etc are created after the PO is edited.",,,,,,
Validations on PO Header,Step,"RMS>Ordering>Orders>Edit
Click Search.Open any Order in Worksheet status.Goto Options>Supplier details.

",,,,,,,,
,VP,"1.Validate that the user is able to View the supplier details and all the fields are non editable.
2.Validate that the user is able to View the Buyer details.",,"1.Supplier Details are viewed and are not editable.
2.Buyer details can be viewed with only Buyer field as editable field.",,,,,,
Maintain Shipping Details on PO,Step,"RMS>Ordering>Orders>Edit
Click Search.Open any Order in Worksheet status.Goto Options>Shipping Details

Enter the values in the following fields:
Purchase Type
Shipping method
Freight Terms
Freight payment method
Transportation responsibility
Title pass Location
Pickup Location
Pickup No.

Click Ok to save changes and exit the window.
",,The Changes are saved.,,,,,,
Maintain Dates on PO,Step,"RMS>Ordering>Orders>Edit
Click Search.Open any Order in Worksheet status.Goto Options>Dates
",,,,,,,,
,Step,Enter the values in Earliest Ship date and Latest ship date,,,,,,,,
,Step,Enter the values in Appointment Date/Time and Estimated in Stock date.Click Ok to save changes and exit.,,The Changes are saved.,,,,,,
