Test Case Title,Step,Description,Notes,Expected Result,Expected File,P/F,Tester name,Testing date ,Defect id,Remarks
Inventory Transfer - Screen Validation ,Step,"From the main menu, select Inventory _ Transfer

 Select Inventory _ Transfer _ Transfer Search Window

1 - PopUp 'Action' field options :
                       - View
                       - New
                       - New from existing
                       - Edit
2 - PopUp 'Type' field options :Test for all of the following options
                       - Store-requisition
                       - Customer order
                       - Return to vendor
                       - Confirmation
                       - Non-salable merchandise
                       - Administrative
                       - Manual Requisition
                       - Book Tranfer
                       - Non-salable Book Tranfer
                       - PO Linked Transfer
                       - Externaly Generated
3 - Fields available to start an transfer",,"

1 - Transfer Search Window opens

2 - For each option selected by 'View' , 'New', 'New from existing' or 'Edit' 
        the fields are available to make the action.
",,,,,,
Create a transfer ,Step,"Open the Transfer form Inventory -> Transfer

   To create a transfer for an Emergency Store Order

 - Pre-requisite Step :
           Stock on hand available at transfering location

1 - Create a Manual Requisition Transfer
2 - Action field > select New 
3 - Type field > select Manual Requisition
4 - Click OK

5 - Freight type field > select required type 
CHECK THAT FOR CENTALLY BOOKED TRANSFER THE FREIGHT TYPE FIELD IS ALWAYS NORMAL
6 - Carrier field > select required carrier
7 - Comments field > enter required comments 
8 - Ext.Reference field > enter required reference code

9  -  In ‘From’ and ‘To’ area.
10 - Location Type field > select origin and destination 
11 - Location field > select location identity
12 - Click Items

13 - Item Type field > select required option
14 - Enter ID number of required Item or Item list
15 - Trans Qty field > enter required units to transfer
16 - Click Apply
17 - Click OK",,"

The Transfer Search Window opens


1 to 4- Transfer Maintenance Window opens
         -New Transfer number is assigned 

9 to 12 - Transfer Detail Window opens

13 to 17 - Return to Transfer search Window



",,,,,,
Approve a Transfer ,Step,"Open the Transfer form Inventory -> Transfer

  To approve a transfer for an Emergency Store Order

 - Pre-requisite Step :
           Transfer has been submitted

1 - Open the Transfer form.
2 - Inventory -> Transfer

3 - Action field > select Edit 
4 - Type field > select Manual Requisition
5 - Status field > select Submitted
6 - Click Search

7 - Select required transfer
8 - Click OK

9 - Click Items
10 - Check details of transfer and Click OK

11 - Click Options at top of screen
12 - Select Approve 

Click OK and then Close to exit
13 - Run the Night Batch",,"

1 to 2 - The Transfer Search Window opens

3 to 6 - Transfer Search Window opens

7 to 8 - Transfer Maintenenace Window opens

9 to 10 - Transfer Detail Window opens
             Return to Transfer Maintenence window

11 to 12 - Status field value should have changed to Approved
",,,,,,
Create a Manual Requisition Transfer,Step,"Open the Transfer form Inventory -> Transfer

   To create a transfer from warehouse to store or from a store to a another store

 - Pre-requisite Step :
           None

1 - Open the Transfer form.
2 - Inventory -> Transfer

3 - In the Action field, select New. 

4 - In the Type field select the “Manual Requisition” type and click OK. 

5 - Enter the details as necessary in the Freight Type, Routing Type/Carrier, 
         Department, Comments, and Ext Reference Code fields. 

6 - In the Location Type and Location fields, specify the type 
         and identity of the origin and destination locations.

7 - Click Items.  

8 - In the Apply area, select a grouping mechanism in the Item Type field.
       In the Item field, enter the ID of the item or item list, or click the LOV 
       button and select the item or item list.

9 - In the Trans Qty field enter the number of eaches to transfer.
         Enter any additional details in the enabled fields.
         Click Apply. 

10 - Click OK to exit the Transfer Detail window. 
",,"

1,2 - The Transfer Search window is displayed. 

3 - The type field should be enable 

4 - The Transfer Maintenance window is displayed 

5, 6 - Save this information, to check if the transfer is being correctly done between the locations

7 - The Transfer Detail window is displayed. 

8 - The fields: Qty type, unit of transfer and trans qty should be enable 

9 - The details are added to the table. 

10 - The transfer maintenance window opens.

",,,,,,
 Submit a Manual Requisition Transfer for Approval,Step,"Open the Transfer form Inventory -> Transfer

   To Submit a Manual Requisition Transfer for Approval

 - Pre-requisite Step :
           Transfer has been created and at Input stage

1 - Open the Transfer form.
2 - Inventory -> Transfer

3 - Action field > select Edit 
4 - Type field > select manual requisition
5 - Status field > select Input
6 - Click Search

7 - Validate the transfer data

8 - Click Items
9 - Check details of transfer and Click OK
 
10 - Click Options at top of screen
11 - Select Submit 
12 -Night Batch Run's
",,"

1,2 - The Transfer Search window is displayed. 

3 - Transfer Search Window opens

4,6 - Transfer Maintenance Window opens 

7 - The data should be correct

8,9 - Transfer Detail Window opens
        Return to Transfer Maintenance window

10,11  - Status field value should have changed to Submitted 

",,,,,,
Inventory Transfer Approve a Transfer ,Step,"Open the Transfer form Inventory -> Transfer

   To approve a Transfer 

 - Pre-requisite Step :
           Transfer has been submitted

1 - Open the Transfer form.
2 - Inventory -> Transfer

3 - Action field > select Edit 
4 - Type field > select Customer Order
5 - Status field > select Submitted
6 - Click Search

7 - Select required transfer
8 - Click OK
 
9 - Validate if the data is correct 

10 - Click Items
11 - Check details of transfer and Click OK

12 - Click Options at top of screen
13 - Select Approve 

14 - Click OK and then Close to exit",,"1,2 - The Transfer Search window is displayed. 

3,6 - Transfer Search Window opens

7,8 - Transfer Maintenance Window opens

9 - The data should be correct and according with what was previously inserted 

10,11 - Transfer Detail Window opens
           Return to Transfer Maintenance window

12,13 - Status field value should have changed to Approved ",,,,,,
Edit a Transfer ,Step,"Open the Transfer form Inventory -> Transfer

   To edit a Transfer  

 - Pre-requisite Step :
           Transfer has been created

1 - Open the Transfer form.
2 - Inventory -> Transfer

3 - In the Action field, select either Edit  
       and Enter additional criteria as 
       desired to make the search more restrictive

4 - Click Search 

5 - To display the details of a transfer, 
        select a record and click OK.

6 - Validate the data and change some values  
7 - Click Close to exit",,"1,2 - The Transfer Search window is displayed. 

4 - The Transfer Search window displays 
        the transfers that match the search criteria.
 
5 - To display the details of a transfer, select a record and click OK.

6 - The Transfer should had been saved with the new values",,,,,,
View a Transfer ,Step,"Open the Transfer form Inventory -> Transfer

   To View a Transfer  

 - Pre-requisite Step :
           Transfer has been created

1 - Open the Transfer form.
2 - Inventory -> Transfer

3 - In the Action field, select either Edit  
       and Enter additional criteria as 
       desired to make the search more restrictive

4 - Click Search 

5 - To display the details of a transfer, 
        select a record and click OK.

6 - Validate the data.
7 - Click Close to exit
",,"

1,2 - The Transfer Search window is displayed. 

4 - The Transfer Search window displays 
        the transfers that match the search criteria.
 
5 - To display the details of a transfer, select a record and click OK.

6,7 - The transfer maintenance window close

",,,,,,
View a Transfer without any values in the fields,Step,"Open the Transfer form Inventory -> Transfer

   To View a Transfer  

 - Pre-requisite Step :
           Transfer has been created

1 - Open the Transfer form.
2 - Inventory -> Transfer

3 - In the Action field, select either Edit  
      
4 - Click Search 

5 - To display the details of a transfer, 
        select a record and click OK.

6 - Validate the data.
7 - Click Close to exit
",,"

1,2 - The Transfer Search window is displayed. 

4 - The Transfer Search window displays 
        the transfers that match the search criteria.
 
5 - To display the details of a transfer, select a record and click OK.

6,7 - The transfer maintenance window close

",,,,,,
View a Transfer with invalid value in transfer field,Step,"Open the Transfer form Inventory -> Transfer

   To View a Transfer  

 - Pre-requisite Step :
           Transfer has been created

1 - Open the Transfer form.
2 - Inventory -> Transfer

3 - In the Action field, select either Edit  
4. Enter character value in the transfer field",,Error should pop up.,,,,,,
